date;Softice_Ordered;IceCream_Ordered;Unique_Buyers;Total_Ordered;Total_Ordered_Cummulative;Unique_Buyers_Cummulative
09/11/2021;00.00;00.00;09.00;00.00;00.00;09.00
10/11/2021;00.00;00.00;02.00;00.00;00.00;11.00
11/11/2021;00.00;02.00;12.00;02.00;02.00;23.00
12/11/2021;00.00;03.00;11.00;03.00;05.00;34.00.00
13/11/2021;00.00;00.00;03.00;00.00;05.00;37.00.00
14/11/2021;00.00;00.00;00.00;00.00;05.00;37.00.00
15/11/2021;00.00;00.00;07.00;00.00;05.00;44.00.00
16/11/2021;00.00;00.00;10.00;00.00;05.00;54.00.00
17/11/2021;01.00;01.00;09.00;02.00;07.00;63.00.00
18/11/2021;00.00;00.00;05.00;00.00;07.00;68.00.00
19/11/2021;00.00;00.00;03.00;00.00;07.00;71.00.00
20/11/2021;00.00;00.00;00.00;00.00;07.00;71.00.00
21/11/2021;00.00;00.00;02.00;00.00;07.00;73.00.00
22/11/2021;00.00;00.00;05.00;00.00;07.00;78.00.00
23/11/2021;00.00;00.00;05.00;00.00;07.00;83.00.00
24/11/2021;00.00;00.00;04.00;00.00;07.00;87.00.00
25/11/2021;00.00;01.00;04.00;01.00;08.00;91.00.00
26/11/2021;00.00;00.00;04.00;00.00;08.00;95.00.00
27/11/2021;00.00;00.00;01.00;00.00;08.00;96.00.00
28/11/2021;00.00;00.00;01.00;00.00;08.00;97.00.00
29/11/2021;00.00;00.00;04.00;00.00;08.00;101.00.00
30/11/2021;00.00;00.00;07.00;00.00;08.00;108.00.00
01/12/2021;00.00;00.00;06.00;00.00;08.00;114.00.00
02/12/2021;00.00;00.00;01.00;00.00;08.00;115.00.00
03/12/2021;00.00;00.00;03.00;00.00;08.00;118.00.00
04/12/2021;00.00;00.00;01.00;00.00;08.00;119.00.00
05/12/2021;00.00;00.00;00.00;00.00;08.00;119.00.00
06/12/2021;00.00;00.00;06.00;00.00;08.00;125.00.00
07/12/2021;00.00;02.00;05.00;02.00;10.00;130.00.00
08/12/2021;00.00;00.00;02.00;00.00;10.00;132.00.00
09/12/2021;00.00;00.00;06.00;00.00;10.00;138.00.00
10/12/2021;00.00;00.00;03.00;00.00;10.00;141.00.00
11/12/2021;00.00;00.00;00.00;00.00;10.00;141.00.00
12/12/2021;00.00;00.00;00.00;00.00;10.00;141.00.00
13/12/2021;00.00;00.00;03.00;00.00;10.00;144.00.00
14/12/2021;00.00;00.00;03.00;00.00;10.00;147.00.00
15/12/2021;00.00;01.00;05.00;01.00;11.00;152.00.00
16/12/2021;00.00;00.00;05.00;00.00;11.00;157.00.00
17/12/2021;00.00;00.00;02.00;00.00;11.00;159.00.00
18/12/2021;00.00;00.00;01.00;00.00;11.00;160.00.00
19/12/2021;00.00;00.00;00.00;00.00;11.00;160.00.00
20/12/2021;00.00;00.00;07.00;00.00;11.00;167.00.00
21/12/2021;00.00;00.00;03.00;00.00;11.00;170.00.00
22/12/2021;00.00;00.00;05.00;00.00;11.00;175.00.00
23/12/2021;00.00;00.00;01.00;00.00;11.00;176.00.00
24/12/2021;00.00;00.00;00.00;00.00;11.00;176.00.00
25/12/2021;00.00;00.00;00.00;00.00;11.00;176.00.00
26/12/2021;00.00;00.00;00.00;00.00;11.00;176.00.00
27/12/2021;00.00;00.00;02.00;00.00;11.00;178.00.00
28/12/2021;00.00;00.00;03.00;00.00;11.00;181.00.00
29/12/2021;00.00;00.00;02.00;00.00;11.00;183.00.00
30/12/2021;00.00;00.00;07.00;00.00;11.00;190.00.00
31/12/2021;00.00;00.00;00.00;00.00;11.00;190.00.00
01/01/2022;00.00;00.00;00.00;00.00;11.00;190.00.00
02/01/2022;00.00;00.00;03.00;00.00;11.00;193.00.00
03/01/2022;00.00;02.00;06.00;02.00;13.00;199.00.00
04/01/2022;00.00;00.00;09.00;00.00;13.00;208.00.00
05/01/2022;00.00;00.00;05.00;00.00;13.00;213.00.00
06/01/2022;00.00;00.00;00.00;00.00;13.00;213.00.00
07/01/2022;00.00;00.00;03.00;00.00;13.00;216.00.00
08/01/2022;00.00;00.00;00.00;00.00;13.00;216.00.00
09/01/2022;00.00;00.00;00.00;00.00;13.00;216.00.00
10/01/2022;00.00;00.00;09.00;00.00;13.00;225.00.00
11/01/2022;00.00;00.00;04.00;00.00;13.00;229.00.00
12/01/2022;00.00;00.00;03.00;00.00;13.00;232.00.00
13/01/2022;00.00;00.00;04.00;00.00;13.00;236.00.00
14/01/2022;00.00;00.00;04.00;00.00;13.00;240.00.00
15/01/2022;00.00;00.00;00.00;00.00;13.00;240.00.00
16/01/2022;00.00;00.00;01.00;00.00;13.00;241.00.00
17/01/2022;01.00;00.00;05.00;01.00;14.00;246.00.00
18/01/2022;00.00;00.00;02.00;00.00;14.00;248.00.00
19/01/2022;00.00;00.00;07.00;00.00;14.00;255.00.00
20/01/2022;00.00;00.00;03.00;00.00;14.00;258.00.00
21/01/2022;00.00;00.00;01.00;00.00;14.00;259.00.00
22/01/2022;00.00;00.00;01.00;00.00;14.00;260.00.00
23/01/2022;00.00;00.00;00.00;00.00;14.00;260.00.00
24/01/2022;00.00;04.00;04.00;04.00;18.00;264.00.00
25/01/2022;00.00;00.00;06.00;00.00;18.00;270.00.00
26/01/2022;00.00;00.00;06.00;00.00;18.00;276.00.00
27/01/2022;00.00;00.00;04.00;00.00;18.00;280.00.00
28/01/2022;00.00;00.00;04.00;00.00;18.00;284.00.00
29/01/2022;00.00;00.00;01.00;00.00;18.00;285.00.00
30/01/2022;00.00;00.00;04.00;00.00;18.00;289.00.00
31/01/2022;00.00;00.00;08.00;00.00;18.00;297.00.00
01/02/2022;00.00;00.00;07.00;00.00;18.00;304.00.00
02/02/2022;00.00;00.00;01.00;00.00;18.00;305.00.00
03/02/2022;00.00;00.00;01.00;00.00;18.00;306.00.00
04/02/2022;00.00;00.00;04.00;00.00;18.00;310.00.00
05/02/2022;00.00;00.00;01.00;00.00;18.00;311.00.00
06/02/2022;00.00;00.00;00.00;00.00;18.00;311.00.00
07/02/2022;00.00;00.00;01.00;00.00;18.00;312.00.00
08/02/2022;01.00;01.00;08.00;02.00;20.00;320.00.00
09/02/2022;00.00;00.00;03.00;00.00;20.00;323.00.00
10/02/2022;00.00;01.00;05.00;01.00;21.00;328.00.00
11/02/2022;00.00;00.00;01.00;00.00;21.00;329.00.00
12/02/2022;00.00;00.00;00.00;00.00;21.00;329.00.00
13/02/2022;00.00;00.00;02.00;00.00;21.00;331.00.00
14/02/2022;00.00;00.00;03.00;00.00;21.00;334.00.00
15/02/2022;00.00;00.00;06.00;00.00;21.00;340.00.00
16/02/2022;00.00;00.00;02.00;00.00;21.00;342.00.00
17/02/2022;00.00;00.00;05.00;00.00;21.00;347.00.00
18/02/2022;00.00;00.00;17.00;00.00;21.00;364.00.00
19/02/2022;00.00;02.00;04.00;02.00;23.00;368.00.00
20/02/2022;00.00;00.00;06.00;00.00;23.00;374.00.00
21/02/2022;00.00;01.00;27.00.00;01.00;24.00.00;401.00.00
22/02/2022;00.00;02.00;38.00.00;02.00;26.00.00;439.00.00
23/02/2022;00.00;14.00;42.00.00;14.00;40.00.00;481.00.00
24/02/2022;00.00;02.00;38.00.00;02.00;42.00.00;519.00.00
25/02/2022;00.00;07.00;39.00.00;07.00;49.00.00;558.00.00
26/02/2022;00.00;00.00;04.00;00.00;49.00.00;562.00.00
27/02/2022;00.00;01.00;09.00;01.00;50.00.00;571.00.00
28/02/2022;00.00;05.00;50.00.00;05.00;55.00.00;621.00.00
01/03/2022;00.00;17.00;133.00.00;17.00;72.00.00;754.00.00
02/03/2022;00.00;18.00;91.00.00;18.00;90.00.00;845.00.00
03/03/2022;00.00;10.00;83.00.00;10.00;100.00.00;928.00.00
04/03/2022;00.00;03.00;72.00.00;03.00;103.00.00;1000.00.00
05/03/2022;00.00;02.00;21.00;02.00;105.00.00;1021.00.00
06/03/2022;00.00;04.00;20.00;04.00;109.00.00;1041.00.00
07/03/2022;02.00;03.00;78.00.00;05.00;114.00.00;1119.00.00
08/03/2022;03.00;07.00;83.00.00;10.00;124.00.00;1202.00.00
09/03/2022;01.00;08.00;119.00.00;09.00;133.00.00;1321.00.00
10/03/2022;00.00;02.00;111.00.00;02.00;135.00.00;1432.00.00
11/03/2022;00.00;03.00;93.00.00;03.00;138.00.00;1525.00.00
12/03/2022;00.00;00.00;12.00;00.00;138.00.00;1537.00.00
13/03/2022;00.00;01.00;14.00;01.00;139.00.00;1551.00.00
14/03/2022;01.00;05.00;127.00.00;06.00;145.00.00;1678.00.00
15/03/2022;00.00;02.00;119.00.00;02.00;147.00.00;1797.00.00
16/03/2022;01.00;06.00;108.00.00;07.00;154.00.00;1905.00.00
17/03/2022;00.00;02.00;105.00.00;02.00;156.00.00;2010.00.00
18/03/2022;02.00;02.00;101.00.00;04.00;160.00.00;2111.00.00
19/03/2022;00.00;00.00;11.00;00.00;160.00.00;2122.00.00
20/03/2022;00.00;02.00;21.00;02.00;162.00.00;2143.00.00
21/03/2022;01.00;02.00;111.00.00;03.00;165.00.00;2254.00.00
22/03/2022;01.00;06.00;96.00.00;07.00;172.00.00;2350.00.00
23/03/2022;02.00;10.00;121.00.00;12.00;184.00.00;2471.00.00
24/03/2022;00.00;05.00;84.00.00;05.00;189.00.00;2555.00.00
25/03/2022;02.00;04.00;71.00.00;06.00;195.00.00;2626.00.00
26/03/2022;00.00;00.00;09.00;00.00;195.00.00;2635.00.00
27/03/2022;01.00;02.00;22.00;03.00;198.00.00;2657.00.00
28/03/2022;01.00;05.00;132.00.00;06.00;204.00.00;2789.00.00
29/03/2022;00.00;05.00;97.00.00;05.00;209.00.00;2886.00.00
30/03/2022;00.00;06.00;114.00.00;06.00;215.00.00;3000.00.00
31/03/2022;01.00;04.00;96.00.00;05.00;220.00.00;3096.00.00
01/04/2022;01.00;06.00;95.00.00;07.00;227.00.00;3191.00.00
02/04/2022;00.00;00.00;15.00;00.00;227.00.00;3206.00.00
03/04/2022;01.00;02.00;18.00;03.00;230.00.00;3224.00.00
04/04/2022;00.00;05.00;129.00.00;05.00;235.00.00;3353.00.00
05/04/2022;02.00;04.00;116.00.00;06.00;241.00.00;3469.00.00
06/04/2022;00.00;03.00;103.00.00;03.00;244.00.00;3572.00.00
07/04/2022;01.00;02.00;82.00.00;03.00;247.00.00;3654.00.00
08/04/2022;00.00;00.00;81.00.00;00.00;247.00.00;3735.00.00
09/04/2022;00.00;01.00;12.00;01.00;248.00.00;3747.00.00
10/04/2022;00.00;01.00;18.00;01.00;249.00.00;3765.00.00
11/04/2022;00.00;08.00;113.00.00;08.00;257.00.00;3878.00.00
12/04/2022;01.00;03.00;83.00.00;04.00;261.00.00;3961.00.00
13/04/2022;00.00;04.00;89.00.00;04.00;265.00.00;4050.00.00
14/04/2022;00.00;02.00;56.00.00;02.00;267.00.00;4106.00.00
15/04/2022;00.00;00.00;05.00;00.00;267.00.00;4111.00.00
16/04/2022;00.00;00.00;04.00;00.00;267.00.00;4115.00.00
17/04/2022;00.00;01.00;11.00;01.00;268.00.00;4126.00.00
18/04/2022;00.00;00.00;15.00;00.00;268.00.00;4141.00.00
19/04/2022;01.00;08.00;112.00.00;09.00;277.00.00;4253.00.00
20/04/2022;01.00;03.00;123.00.00;04.00;281.00.00;4376.00.00
21/04/2022;02.00;03.00;99.00.00;05.00;286.00.00;4475.00.00
22/04/2022;00.00;03.00;76.00.00;03.00;289.00.00;4551.00.00
23/04/2022;02.00;03.00;16.00;05.00;294.00.00;4567.00.00
24/04/2022;00.00;02.00;19.00;02.00;296.00.00;4586.00.00
25/04/2022;02.00;01.00;111.00.00;03.00;299.00.00;4697.00.00
26/04/2022;00.00;01.00;89.00.00;01.00;300.00.00;4786.00.00
27/04/2022;01.00;06.00;114.00.00;07.00;307.00.00;4900.00.00
28/04/2022;01.00;02.00;100.00.00;03.00;310.00.00;5000.00.00
29/04/2022;00.00;00.00;62.00.00;00.00;310.00.00;5062.00.00
30/04/2022;00.00;01.00;09.00;01.00;311.00.00;5071.00.00
01/05/2022;00.00;01.00;19.00;01.00;312.00.00;5090.00.00
02/05/2022;00.00;01.00;120.00.00;01.00;313.00.00;5210.00.00
03/05/2022;00.00;01.00;105.00.00;01.00;314.00.00;5315.00.00
04/05/2022;01.00;02.00;104.00.00;03.00;317.00.00;5419.00.00
05/05/2022;01.00;03.00;95.00.00;04.00;321.00.00;5514.00.00
06/05/2022;01.00;00.00;69.00.00;01.00;322.00.00;5583.00.00
07/05/2022;00.00;00.00;10.00;00.00;322.00.00;5593.00.00
08/05/2022;00.00;00.00;20.00;00.00;322.00.00;5613.00.00
09/05/2022;00.00;01.00;94.00.00;01.00;323.00.00;5707.00.00
10/05/2022;00.00;07.00;96.00.00;07.00;330.00.00;5803.00.00
11/05/2022;00.00;02.00;101.00.00;02.00;332.00.00;5904.00.00
12/05/2022;02.00;01.00;116.00.00;03.00;335.00.00;6020.00.00
13/05/2022;01.00;00.00;69.00.00;01.00;336.00.00;6089.00.00
14/05/2022;00.00;00.00;07.00;00.00;336.00.00;6096.00.00
15/05/2022;00.00;00.00;16.00;00.00;336.00.00;6112.00.00
16/05/2022;00.00;02.00;111.00.00;02.00;338.00.00;6223.00.00
17/05/2022;02.00;01.00;101.00.00;03.00;341.00.00;6324.00.00
18/05/2022;00.00;02.00;77.00.00;02.00;343.00.00;6401.00.00
19/05/2022;00.00;01.00;67.00.00;01.00;344.00.00;6468.00.00
20/05/2022;04.00;02.00;89.00.00;06.00;350.00.00;6557.00.00
21/05/2022;01.00;00.00;14.00;01.00;351.00.00;6571.00.00
22/05/2022;00.00;00.00;12.00;00.00;351.00.00;6583.00.00
23/05/2022;01.00;06.00;130.00.00;07.00;358.00.00;6713.00.00
24/05/2022;02.00;02.00;118.00.00;04.00;362.00.00;6831.00.00
25/05/2022;00.00;01.00;94.00.00;01.00;363.00.00;6925.00.00
26/05/2022;00.00;04.00;26.00.00;04.00;367.00.00;6951.00.00
27/05/2022;00.00;01.00;48.00.00;01.00;368.00.00;6999.00.00
28/05/2022;00.00;00.00;16.00;00.00;368.00.00;7015.00.00
29/05/2022;01.00;01.00;12.00;02.00;370.00.00;7027.00.00
30/05/2022;01.00;02.00;119.00.00;03.00;373.00.00;7146.00.00
31/05/2022;01.00;06.00;116.00.00;07.00;380.00.00;7262.00.00
01/06/2022;00.00;02.00;115.00.00;02.00;382.00.00;7377.00.00
02/06/2022;01.00;06.00;93.00.00;07.00;389.00.00;7470.00.00
03/06/2022;00.00;03.00;71.00.00;03.00;392.00.00;7541.00.00
04/06/2022;00.00;01.00;07.00;01.00;393.00.00;7548.00.00
05/06/2022;00.00;00.00;09.00;00.00;393.00.00;7557.00.00
06/06/2022;00.00;01.00;32.00.00;01.00;394.00.00;7589.00.00
07/06/2022;02.00;02.00;103.00.00;04.00;398.00.00;7692.00.00
08/06/2022;00.00;00.00;00.00;00.00;398.00.00;7692.00.00
09/06/2022;00.00;00.00;00.00;00.00;398.00.00;7692.00.00
